Pág.,Mês,Ano,Fis.:,CNPJ:,SALARIO,MES,COMISSAO,AMIL,VARIAVEL,REFEICAO,PROVENTOS,DESCONTOS,RECEBER,Fls.:,QUINZENAL,PATERNIDADE,INSS,MEDIA,BRA
1,,,316,SETEMBRO/2019,"953,36","200,43","173,68","5,00","1.100,00","6,00","2.227,04","211,43",5,,,,,,
2,,,,borusno/2018,"1.300,00","63,35","288,46","5,00","1.500,00",,"3.088,46","928,08","2.160,38",317,"520,00",,,,
3,,,318,froveimno/2018,"1.126,65","47,33","285,71","5,00","1.200,00","6,00","2.785,72","834,04","1.951,68",,"520,00","173,36",,,
4,,,319,bezemmno/2018,"124,00","19,04","288,00",,"1.200,00","6,00","2.912,00","815,88",3,,"520,00",,13,13,"5,00"
5,,,320,FAMETRO/2020,"1.300,00","200,70","180,00",,"750,00","6,00","2.230,00","741,70","1.488,30",,"520,00",,,,"10,00"
