Pág.,Mês,Ano,Salário Hora,Dias Trabalhados,Horas Extras 100%,Horas Extras 100% Noturna,Ad. Noturno 20%,DSR sobre Variaveis,DSR sobre H.Extra,Contr. INSS Remuneração,Adiantamento pago,Conv. Odonto. (S. Franc.),Dep. I.R.R.F.,Diferença de 13º salário,Trib.INSS (13o)
1,10,2019,"7,63","1.678,61","76,30","47,40","107,06","26,77","30,93","177,03","671,44","10,99","0,00",,
2,11,2019,"7,63","1.678,61","76,30","51,74","111,23","26,70","30,73","177,77","671,44","10,99","0,00",,
3,12,2019,"7,63","1.678,61","76,30","37,84","107,60","26,90","28,54","176,02","671,44","10,99","0,00","23,04","1,84"
4,01,2020,"7,63","1.678,61","76,30","46,90","82,30","19,75","29,57","174,00","671,44","10,99","0,00",,
5,02,2020,"7,63","1.678,61",,,"110,36","21,22",,"144,81","671,44","10,99","0,00",,
